"major","minor","seats","AHORA CANARIAS","ANDECHA","AUNACV","AVANT ADELANTE LOS VERDES","AXSÍ","BNG","C 21","CANDA","CCA PNC NC","CENTRADOS","CHA","CONTIGO","CPM","CS","CUP PR","DPL","EAJ PNV","EB","EH BILDU","ERC","EXTREMADURA UNIDA","FE DE LAS JONS","FIA","GBAI","I FEM","IZAR","IZQP","JXCAT JUNTS","LOS VERDES","MAS","MÁS PAÍS","MDYC","MÉS ESQUERRA","NA+","P LIB","PACMA","PCOE","PCPE","PCTE","PDSJE","PH","PP","PPSO","PRC","PREPAL","PSOE","PUM+J","PYLN","RECORTES CERO GV","RISA","SOLIDARIA","SOMOS REGIÓN","TERUEL EXISTE","UDT","UIG SOM CUIDES","PODEMOS-IU-SUMAR","UNIDOS SÍ A","UNIÓN REGIONALISTA","UPL","VOX","XAV"
"Andalucía","Almería",6,0,0,0,0,318,0,0,0,0,0,0,0,0,22835,0,0,0,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2582,0,303,0,0,0,78072,0,0,0,89295,371,0,360,0,0,0,0,0,0,24400,0,0,0,80714,0
"Andalucía","Cádiz",9,0,0,0,0,3509,0,0,0,0,0,0,0,0,55490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11316,0,0,0,0,8437,1739,639,0,0,0,111089,0,0,0,188271,707,0,915,0,0,0,0,0,0,93541,0,0,0,131205,0
"Andalucía","Córdoba",6,0,0,0,0,1019,0,0,0,0,0,0,0,0,36229,0,0,0,760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3946,1062,544,321,0,0,99999,0,0,0,146761,478,0,549,0,0,0,0,0,0,64769,0,0,0,82534,0
"Andalucía","Granada",7,0,0,0,0,619,0,0,520,0,0,0,0,0,37772,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,8629,0,0,0,0,4095,0,371,322,0,0,105192,0,0,0,160190,624,0,545,0,0,0,0,0,0,59331,0,0,0,99928,0
"Andalucía","Huelva",5,0,0,0,0,856,0,0,0,0,0,0,0,0,18382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2535,464,159,112,0,0,49452,0,0,0,91656,351,0,495,0,0,0,0,0,0,30389,0,0,0,52485,0
"Andalucía","Jaén",5,0,0,0,0,856,0,0,0,0,0,0,0,0,24816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2766,0,0,471,0,0,82055,0,0,0,141737,419,0,464,249,0,0,0,0,0,35962,0,0,0,71950,0
"Andalucía","Málaga",11,0,0,0,0,1686,0,0,0,0,0,0,0,0,66995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14112,0,0,0,0,11089,1265,581,381,0,0,163177,0,0,0,226831,904,0,1261,0,0,0,0,0,0,97801,0,0,0,162280,0
"Andalucía","Sevilla",12,0,0,0,0,5183,0,0,0,0,0,0,0,0,83575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22388,0,0,0,0,12035,1495,842,550,0,0,188166,0,0,0,380385,1402,0,1456,0,0,0,0,0,0,153435,0,0,0,188813,0
"Aragón","Huesca",3,0,0,0,0,0,0,0,0,0,0,2000,0,0,9244,0,0,0,393,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,735,0,100,86,0,0,29804,0,0,0,38101,153,73,198,0,0,0,0,0,0,14035,0,0,0,17237,0
"Aragón","Teruel",3,0,0,13,0,0,0,0,0,0,0,0,0,0,3732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,96,45,0,0,0,17520,0,0,0,18934,35,25,0,0,0,0,19761,26,0,3982,0,0,0,9346,0
