"major","minor","seats","AHORA CANARIAS","ANDECHA","AUNACV","AVANT ADELANTE LOS VERDES","AXSÍ","BNG","C 21","CANDA","CCA","NC","CENTRADOS","CONTIGO","CpM","CUP PR","DPL","EAJ PNV","EB","EH BILDU","ERC","EXTREMADURA UNIDA","FE DE LAS JONS","FIA","GBAI","I FEM","IZAR","IZQP","JXCAT JUNTS","LOS VERDES","MAS","SUMAR","MDYC","UPN","P LIB","PACMA","PCOE","PCPE","PCTE","PDSJE","PH","PP","PPSO","PREPAL","PSOE","PUM+J","PYLN","RECORTES CERO GV","RISA","SOLIDARIA","SOMOS REGIÓN","EV","UDT","UIG SOM CUIDES","UNIDOS SÍ A","UNIÓN REGIONALISTA","UPL","VOX","XAV"
"Andalucía","Almería",6,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,542,0,0,0,0,0,0,0,0,0,0,0,0,25801,0,0,0,2730,0,320,0,0,0,89489.5,0,0,94422,392,0,381,0,0,0,0,0,0,0,0,0,85348,0
"Andalucía","Cádiz",9,0,0,0,0,3730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111465,0,0,0,8969,1849,679,0,0,0,138834,0,0,200135,752,0,973,0,0,0,0,0,0,0,0,0,139473,0
"Andalucía","Córdoba",6,0,0,0,0,1080,0,0,0,0,0,0,0,0,0,0,0,805,0,0,0,0,0,0,0,0,0,0,0,0,68644,0,0,0,4182,1126,577,340,0,0,118113.5,0,0,155542,507,0,582,0,0,0,0,0,0,0,0,0,87472,0
"Andalucía","Granada",7,0,0,0,0,654,0,0,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,71788,0,0,0,4326,0,392,340,0,0,124078,0,0,169213,659,0,576,0,0,0,0,0,0,0,0,0,105557,0
"Andalucía","Huelva",5,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31945,0,0,0,2665,488,167,118,0,0,58643,0,0,96349,369,0,520,0,0,0,0,0,0,0,0,0,55172,0
"Andalucía","Jaén",5,0,0,0,0,898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37713,0,0,0,2901,0,0,494,0,0,94463,0,0,148637,439,0,487,261,0,0,0,0,0,0,0,0,75453,0
"Andalucía","Málaga",11,0,0,0,0,1795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119147,0,0,0,11806,1347,619,406,0,0,196674.5,0,0,241494,962,0,1343,0,0,0,0,0,0,0,0,0,172770,0
"Andalucía","Sevilla",12,0,0,0,0,5465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185390,0,0,0,12690,1576,888,580,0,0,229953.5,0,0,401082,1478,0,1535,0,0,0,0,0,0,0,0,0,199087,0
"Aragón","Huesca",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,0,0,0,0,80,0,0,0,0,0,0,0,17047,0,0,0,781,0,106,91,0,0,34426,0,0,40507,163,78,211,0,0,0,0,0,0,0,0,0,18326,0
"Aragón","Teruel",3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4124,0,0,0,220,99,47,0,0,0,19386,0,0,19607,36,26,0,0,0,0,20464,27,0,0,0,0,9678,0
"Aragón","Zaragoza",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2074,0,0,0,0,413,0,0,0,0,0,0,1142,86652,0,0,0,3867,0,354,442,0,0,143409.5,0,0,169225,518,569,920,0,0,0,0,0,0,0,0,0,98710,0
"Canarias","Las Palmas",8,1155,0,0,0,0,0,0,0,37569,12390,0,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1939,0,86374,0,0,0,6029,0,757,0,742,287,117384,0,0,146748,574,0,525,0,0,0,0,0,0,0,0,0,67108,0
"Canarias","Santa Cruz de Tenerife",7,953,0,0,0,0,0,0,0,59265,19545,0,244,0,0,0,0,432,0,0,0,0,0,0,0,0,0,0,1366,0,73575,0,0,0,6356,0,480,0,0,0,104923.5,0,0,136947,330,0,505,0,0,0,0,0,0,0,0,0,55279,0
